OrigOrder,Township,Page,Lot,Bounds,Starting Corner,Direction,Chains,Links,Observation,Bounds Text,Destination Corner,Transcriber,Note
298,Hector,23,22,East,SE,North,80,,"Intersected a line and Marked and Numbered a Stake for the Corner of Lots No. 12, 13, 22 & 23 with Several Small Saplings blazed around it",,NE,,
305,Hector,59,23,South,SW,East,0,,"Beginning at the  Corner last Mentioned [Corner of Lots No. 22, 23, 32 & 33 Vide page 22]",,,Rebecca,
306,Hector,59,23,South,SW,East,5,,A small Brook running Southwesterly,,,Rebecca,
307,Hector,59,23,South,SW,East,25,,Crossed a fine Brook running Southwesterly,,,Rebecca,
308,Hector,59,23,South,SW,East,72,,A small Brook running Southwesterly,,,Rebecca,
309,Hector,59,23,South,SW,East,77,57,"The Corner of Lots No. 23, 24, 33 & 34 Vide page 25.  Land Continues uneven Ascending towards the East Timber White pine  White & black Oak Beach & Maple",,SE,Rebecca,
311,Hector,25,23,East,NE,South,0,,"Beginning at the Corner last mentioned [Corner of Lots No. 13, 14, 23 & 24]",,,,
312,Hector,25,23,East,NE,South,10,,A dry brook bearing Westerly,,,JuneSzabo,
313,Hector,25,23,East,NE,South,38,,A dry run bear:  ditto [Westerly],,,JuneSzabo,
314,Hector,25,23,East,NE,South,60,,A brook running Westerly,,,JuneSzabo,
315,Hector,25,23,East,NE,South,80,,"An Ironwood tree marked and Numbered for the Corner of Lots No. 23, 24, 33  & 34.  Land is level and good Bearing Beach Maple Hickory Ash and White pine",,SE,JuneSzabo,
321,Hector,59,24,South,SW,East,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 23, 24, 33 & 34 Vide page 25]",,,Rebecca,
322,Hector,59,24,South,SW,East,28,,Crossed a spring run bear: Southwesterly,,,Rebecca,
323,Hector,59,24,South,SW,East,77,57,"The Corner of Lots 24, 25, 34 & 35 Vide Page 31.  Good Land producing Beach Maple Poplar & Oak",,SE,Rebecca,
325,Hector,31,24,East,SE,North,0,,"Beginning at the Corner last mentioned [Corner of Lots No. 24, 25, 34 & 35]",,,,
326,Hector,31,24,East,SE,North,80,,"A Stake Standing 10 Links Southeasterly of an Ironwood Sapling Marked for the Corner of Lots No. 14, 15, 24 & 25.  The land here is level and Tollerably [sic] good  Bear: Timber as before [Poplar Maple White pine & some Oak]",,NE,JuneSzabo,
333,Hector,60,25,South,SW,East,0,,"Beginning at the Corner last mentioned [Corner of Lots 24, 25, 34 & 35 Vide Page 31]",,,,
334,Hector,60,25,South,SW,East,10,,Entered Land which appears to have been burnt- Covered very thick with underbrush Descending Land and better Timbered,,,JuneSzabo,
335,Hector,60,25,South,SW,East,77,57,"The Corner of Lots No. 25, 26, 35 & 36 Vide Page 33 & 34.  Land pretty good and Timbered toward the Corner",,SE,JuneSzabo,
337,Hector,33,25,East,NE,South,0,,Beginning at last mentioned Corner [15.16. 25 & 26],,,Judy,
338,Hector,33,25,East,NE,South,30,,Crossed a Large Brook running Easterly Timber Chesnut Beach & Maple mainly,,,Judy,
339,Hector,33,25,East,NE,South,80,,Intersected a Line marked & Numbered a Stake standing 6 Links SW of a Maple Tree also marked and Numbered.  For the Corner of Lots No. 25.26.35&36. Land but middling. Timber as  last mentioned.\,,SE,Judy,
346,Hector,60,26,South,SW,East,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 25, 26, 35 & 36 Vide Page 33 & 34]",,,Rebecca,
347,Hector,60,26,South,SW,East,42,,Crossed a Brook Running Southeasterly,,,Rebecca,
348,Hector,60,26,South,SW,East,77,57,"The Corner of Lots No. 26, 27, 36 & 37 - Vide Page 38.  Land not very good - rather uneven. bearing Beach Maple Oak & White pine.",,SE,Rebecca,
350,Hector,39,26,East,SE,North,0,,"Beginning at the last Mentioned Corner [Corner of Lots No. 26, 27, 36 & 37]",,,Judy,
351,Hector,39,26,East,SE,North,50,,Crossed a fine brook running Easterly,,,Judy,
352,Hector,39,26,East,SE,North,80,,"Intersected a Line and Marked and Numbered a Maple Tree for the Corner of Lots No. 16 & 17, 26 & 27.  Excellent fine level Land",,NE,Judy,
356,Hector,60,27,South,SW,East,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 26, 27, 36 & 37 Vide Page 38]",,,Rebecca,
357,Hector,60,27,South,SW,East,15,,A Brook running Southerly,,,JuneSzabo,
358,Hector,60,27,South,SW,East,50,,Crossed a fine large Brook running Southeasterly,,,JuneSzabo,
359,Hector,60,27,South,SW,East,77,57,"The Corner of Lots No. 27, 28, 37 & 38 Vide Page 41.  Good land and level timber Beach Maple White Ash Elm Basswood & White pine.",,SE,Rebecca,
361,Hector,40,27,East,NE,South,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 17, 18, 27 & 28]",,,,
362,Hector,40,27,East,NE,South,80,,"Intersected a Line and set a Stake 20 Links Southeast of a White pine tree Marked and Numbered for the Corner of Lots No. 27, 28 & 38.  Fine Land & level Bearing timber as mentioned [Beach Maple Elm & Basswood]",,SE,Judy,
366,Hector,61,28,South,SW,East,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 27, 28, 37 & 38 Vide page 41]",,,Rebecca,
367,Hector,61,28,South,SW,East,16,,A small Brook Southeasterly,,,JuneSzabo,
368,Hector,61,28,South,SW,East,56,,A small brook Running Ditto [Southeasterly],,,Rebecca,
369,Hector,61,28,South,SW,East,77,57,"The Corner of Lots No. 28, 29, 38 & 39 Vide Page 45.  Excellent Land Bearing Beach Maple Ash Elm & Basswood",,SE,JuneSzabo,
371,Hector,45,28,East,SE,North,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 28, 29, 38 & 39]",,,Judy,
372,Hector,45,28,East,SE,North,49,,Crossed a small Brook running Easterly,,,Judy,
373,Hector,45,28,East,SE,North,78,,Crossed a fine Brook running Easterly,,,Judy,
374,Hector,45,28,East,SE,North,80,,"Intersected the Line and Marked & Numbered a small beach Tree for the Corner of Lots No. 18, 19, 28 & 29.  Land & timber the same as last described [Beach Maple white Ash Elm Basswood & Pine]",,NE,Judy,
378,Hector,61,29,South,SW,East,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 28, 29, 38 & 39 Vide Page 45]",,,Rebecca,
379,Hector,61,29,South,SW,East,15,,A spring Run bearing Southerly,,,JuneSzabo,
380,Hector,61,29,South,SW,East,31,,Crossed a large Stream or Creek running Easterly,,,JuneSzabo,
381,Hector,61,29,South,SW,East,60,,Crossed the same several times,,,Rebecca,
382,Hector,61,29,South,SW,East,72,,Crossed the same again which now bear an Easterly Course,,,Rebecca,
383,Hector,61,29,South,SW,East,77,57,The Corner of Lots No. 29 & 39 being the Southeast and Northeast Corner thereof  Standing in the East Bounds of the Town Vide page 48.  Land Excellently good and Level,,SE,JuneSzabo,
385,Hector,48,29,East,NE,South,0,,Beginning at the Corner last mentioned [Corner of Lots No. 19 & 29],,,,
386,Hector,48,29,East,NE,South,30,,Low Land inclining to Swamp,,,,
387,Hector,48,29,East,NE,South,38,,Crossed a fine Brook,,,Rebecca,
388,Hector,48,29,East,NE,South,80,,A Stake standing in the East Bounds of the Town near an Elm Sapling marked and Numbered for the Southwest [Southwest] & Northeast Corner of Lots No. 29 & 39.  Land continues good & Level Bearing Elm White Ash & Hickory,,SE,Rebecca,
392,Hector,15,30,South,SW,East,0,,Beginning at a White Ash Sapling Standing on the Bank of the Lake Marked & Numbered for the Northwest & Southwest Corners of Lots No. 30 & 31,,,Charlotte,
393,Hector,15,30,South,SW,East,47,,Crossed the last time a small Run bearing nearly Westerly,,,Charlotte,
394,Hector,15,30,South,SW,East,65,,Crossed the road Excellent Land,,,Charlotte,
395,Hector,15,30,South,SW,East,159,50,Intersected the east Bounds of the Lake Lots - Vide Southeast & Northeast Corner of Lots No. 30 & 31 -page 4,,SE,Charlotte,
397,Hector,3,30,East,NE,South,0,,Beginning at the Corner last mentioned [Corner of Lots No. 21 & 30],,,Charlotte,
398,Hector,3,30,East,NE,South,2,,Began to descend a Steep Bank,,,Charlotte,
399,Hector,3,30,East,NE,South,12,,Crossed a large Brook running Westerly,,,Charlotte,
400,Hector,3,30,East,NE,South,22,,Ascended the oppostie Bank- fine land,,,Charlotte,
401,Hector,3,30,East,NE,South,33,,Crossed a small Brook running Westerly,,,Charlotte,
402,Hector,3,30,East,NE,South,35,,Crossed a fine spring Brook running due west by then Entered a fine dry Swamp but Shortly Inclines to wet.  Timbered mainly with white and black Ash Maple Elm Birch & Basswood - and toward the latter part some Hemlock and White Pine Intermixed,,,Charlotte,
403,Hector,4,30,East,NE,South,42,,Marked & Numbered a large Hemlock Tree for the Corners of Lots No. 30 & 31 Standing on the Edge of the Swamp just Mentioned,,SE,Charlotte,
407,Hector,14,31,South,SW,East,0,,Beginning at a small White pine tree marked and numbered for the Northwest and Southwest Corner of Lots No.31 & 40 Standing on the Bank of the lake,,,,
408,Hector,14,31,South,SW,East,26,50,Crossed a small run bear:  Southwesterly Ascending and good Land,,,,
409,Hector,14,31,South,SW,East,45,,Crossed a small run bear: Northwesterly,,,,
410,Hector,14,31,South,SW,East,50,,Crossed the same again,,,,
411,Hector,14,31,South,SW,East,51,50,Crossed the road good land & Well Timbered,,,,
412,Hector,14,31,South,SW,East,146,,Intersected the East bounds of the Lots Vide Southeast and Northeast Corners of Lots No. 40 & 31 page 4,,SE,,
414,Hector,4,31,East,NE,South,0,,Beginning at the Corner last Mentioned [Corner of Lots No. 30 & 31],,,,
415,Hector,4,31,East,NE,South,19,,A Small rise of Upland in the Aforesaid Swamp,,,,
416,Hector,4,31,East,NE,South,36,,A Brook Bearing Southerly,,,,
417,Hector,4,31,East,NE,South,44,20,Marked and Numbered a large black Oak Tree for the Southeast & Northeast Corner of Lots No. 31 & 40.  Swamp Still Continues Bearing timber pretty much as before,,SE,,
421,Hector,64,32,South,SE,West,0,,"Beginning at the Corner last Mentioned [corner of Lots No. 32, 33, 42 & 43 Vide Page 22]",,,Rebecca,
422,Hector,64,32,South,SE,West,3,,A small Brook Running Westerly which the same Crossed several times afterwards,,,Rebecca,
423,Hector,64,32,South,SE,West,77,57,To a Stake and Stones Standing in the East Bounds of Lots No. 31 being the Southwest & Northwest Corner of Lots No. 32 & 42,,SW,JuneSzabo,
425,Hector,22,32,East,SE,North,0,,"Beginning at the Corner last Mentioned [Corner of Lots No.32, 33, 42, 43]",,,,
426,Hector,22,32,East,SE,North,70,,"Crossed a fine brook running Southerly Land good and the timber much as described before [Hickory, Elm, Basswood and White Ash]",,,JuneSzabo,
427,Hector,22,32,East,SE,North,80,,"Intersected a Line and Marked and Numbered a large White pine tree for the Corner of Lots No. 22, 23 & 33].  Good Land- Timber is a mixture of White pine Maple Elm Ash & Hickory",,NE,JuneSzabo,
431,Hector,64,33,South,SE,West,0,,"Beginning at the  Corner last Mentioned [Corner of Lots No. 33, 34, 43 & 44 Vide Page 25.]",,,,
432,Hector,64,33,South,SE,West,35,,A small Run Bearing Southwesterly,,,Rebecca,
433,Hector,64,33,South,SE,West,55,,Ditto [ A small Run Bearing Southwesterly],,,Rebecca,
434,Hector,64,33,South,SE,West,77,57,"The corner of Lots No. 32, 33, 42 & 43 Vide Page 22.  Land good and level bearing Hickory White ash and Oak",,SW,Rebecca,
436,Hector,25,33,East,NE,South,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 23, 24, 33 &34]",,,,
437,Hector,25,33,East,NE,South,25,,A small run bear:  Northerly,,,JuneSzabo,
438,Hector,25,33,East,NE,South,80,,"Marked Numbered a Chesnut Sapling for the Corner of Lots No. 33, 34, 43 & 44].  The Land inclining Westerly and good Bearing Beach Maple Hickory Ash Chesnut & Pine",,SE,JuneSzabo,
442,Hector,63,34,South,SE,West,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 34, 35, 44 & 45  Vide Page 31]",,,,
443,Hector,63,34,South,SE,West,77,57,"The Corner of Lots No. 33, 34, 43 & 44 Vide Page 25.  The Land is somewhat better and more level – Bearing Hickory  Ash  White & black Oak Timber.",,SW,JuneSzabo,
445,Hector,31,34,East,SE,North,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 34, 35, 44, 45]",,,,
446,Hector,31,34,East,SE,North,8,,Crossed a Brook running Easterly,,,JuneSzabo,
447,Hector,31,34,East,SE,North,80,,"A Stake Standing 20 Links Northerly of a large White pine Tree Marked & Numbered for the Corner of Lots No. 24, 25, 34 & 35.  Land is high and level, in some places not very well Timbered, the timber the stand is Poplar Maple White pine & some Oak",,NE,JuneSzabo,
451,Hector,63,35,South,SE,West,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 35, 36, 45 & 46 Vide Page 34]",,,JB,
452,Hector,63,35,South,SE,West,30,,Crossed a Brook running Southerly,,,JuneSzabo,
453,Hector,63,35,South,SE,West,42,,A small Brook Bear:  Southerly,,,JuneSzabo,
454,Hector,63,35,South,SE,West,64,,Ditto [ A small Brook Bear:  Southerly],,,JuneSzabo,
455,Hector,63,35,South,SE,West,73,,Crossed a fine Brook running Southeasterly,,,JuneSzabo,
456,Hector,63,35,South,SE,West,77,57,"The Corner of Lots No. 34, 35, 44 & 45 Vide page 31.  Land much broken & very Indifferent Bear: mostly Oak Chesnut & pine",,SW,JuneSzabo,
458,Hector,34,35,East,NE,South,0,,"Beginning at the Corner last mentioned [Corner of Lots No. 25, 26, 35 & 36]",,,Judy,
459,Hector,34,35,East,NE,South,12,,Crossed a Brook running Easterly,,,Judy,
460,Hector,34,35,East,NE,South,80,,Intersected a Line and Marked and Numbered a black Oak Tree for the Corner of Lots No.35. 3. 45 & 46.  Here the Land is mostly Covered with Oak & Chesnut and uneven,,SE,Judy,
464,Hector,63,36,South,SE,West,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 36, 37, 46 & 47 Vide page 38]",,,Rebecca,
465,Hector,63,36,South,SE,West,9,,A spring Run bear: Southeasterly,,,JuneSzabo,
466,Hector,63,36,South,SE,West,34,,A spring Run bear:  Southeasterly,,,JuneSzabo,
467,Hector,63,36,South,SE,West,52,,Ditto [A spring Run bear: Southeasterly],,,JuneSzabo,
468,Hector,63,36,South,SE,West,55,,Ditto [A spring Run bear: Southeasterly],,,JuneSzabo,
469,Hector,63,36,South,SE,West,77,57,"The Corner of Lots No. 35, 36, 45 & 46 Vide Page 34.  The Land not very good very much broken & somewhat Stoney.",,SW,JuneSzabo,
471,Hector,38,36,East,SE,North,0,,"Beginning at the Corner last mentioned [Corner of Lots No. 36, 37, 46 & 47]",,,,
472,Hector,38,36,East,SE,North,69,,Crossed a large brook running Northerly,,,Judy,
473,Hector,38,36,East,SE,North,80,,"Intersected a Line and Marked and Numbered a Chesnut Tree for the Corner of Lots No. 26, 27, 36 & 37.  Here the Land is Covered mostly with Chesnut and pine and uneven Withall",,NE,Judy,
477,Hector,62,37,South,SE,West,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 37, 38, 47 & 48 Vide page 41]",,,Rebecca,
478,Hector,62,37,South,SE,West,30,,A Brook Bear:  Southeasterly,,,JuneSzabo,
479,Hector,62,37,South,SE,West,35,,A Small run Bear:  Southeasterly,,,JuneSzabo,
480,Hector,62,37,South,SE,West,45,,A Small run Bear:  Ditto [Southeasterly],,,JuneSzabo,
481,Hector,62,37,South,SE,West,77,57,"The Corner of Lots No. 36, 37, 46 & 47 Vide page 38.  Ascending Land Bearing Chesnut White & black Oak and White pine",,SW,JuneSzabo,
483,Hector,41,37,East,NE,South,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 27, 28 & 38]",,,Judy,
484,Hector,41,37,East,NE,South,60,,Crossed a large Brook running Easterly,,,Judy,
485,Hector,41,37,East,NE,South,80,,"Intersected a Line and Set a Stake Standing 8 links East of a Maple Tree Marked & Numbered for the Corner of Lots No. 37, 38, 47 & 48.  Good Level Land Bearing Beach Maple White Ash & White pine",,SE,Judy,
489,Hector,62,38,South,SE,West,0,,"Beginning at the Last mentioned Corner [Corner of Lots No. 38, 39, 48 & 49 Vide page 45]",,,Rebecca,
490,Hector,62,38,South,SE,West,47,,Crossed a large Stream or Creek running Southeasterly,,,Rebecca,
491,Hector,62,38,South,SE,West,77,57,"The Corner of Lots No. 37, 38, 47 & 48 Vide page 41.  Land Continues good Bearing timber as last Mentioned [Beach Maple Ash Elm & Basswood].",,SW,Rebecca,
493,Hector,45,38,East,SE,North,0,,"Beginning at the Corner last Mentioned [Corner of Lots No.38, 39, 48 & 49]",,,Judy,
494,Hector,45,38,East,SE,North,50,,Crossed a large Creek or Stream running Easterly,,,Judy,
495,Hector,45,38,East,SE,North,80,,"Intersected a Line set a Stake 6 Links Northeast of a White pine tree Marked & Numbered for the Corner of Lots No. 28, 29, 38 & 39.  Excellent Land Bearing Beach Maple White Ash Elm Basswood & Pine",,NE,Judy,
499,Hector,62,39,South,SE,West,0,,Beginning at the Southeast & Northeast Corner of Lots No. 39 & 49 in the East Bounds of the Town - Vide page 48,,,Rebecca,
500,Hector,62,39,South,SE,West,1,,Crossed a Brook running Northeasterly,,,JuneSzabo,
501,Hector,62,39,South,SE,West,16,50,Crossed a fine Brook running Northeasterly,,,Rebecca,
502,Hector,62,39,South,SE,West,75,,A small Spring run bear:  Northeasterly,,,Rebecca,
503,Hector,62,39,South,SE,West,77,57,"The Corner of Lots No. 38, 39, 48 & 49 Vide page 45.  Land Excellently good Bearing Beach Maple Ash Elm & Basswood.",,SW,JuneSzabo,
505,Hector,48,39,East,NE,South,0,,Beginning at the Corner last Mentioned [Corner of Lots No. 29 & 39],,,,
506,Hector,48,39,East,NE,South,2,,Crossed a fine stream or Creek Running Northeasterly,,,,
507,Hector,48,39,East,NE,South,45,,Crossed a Run of Water Bear:  Northeasterly,,,,
508,Hector,48,39,East,NE,South,78,,Crossed a fine brook running Northeasterly,,,,
509,Hector,48,39,East,NE,South,80,,A water Ash Tree marked and Numbered for the Corner of Lots No. 39 & 49 being the Southeast and Northeast Corner of Lots last Mentioned.  God [sic] land Timbered as Last Mentioned [Elm White Ash & Hickory],,SE,,
513,Hector,13,40,South,SW,East,0,,Beginning at a small White Oak tree near a large one Standing on the Bank of the Lake Marked & Numbered for the Northeast [Northwest] & Southwest Corner of Lots No. 41 & 40,,,,
514,Hector,14,40,South,SW,East,8,,Crossed a dry run Bear:  Westerly,,,,
515,Hector,14,40,South,SW,East,42,,Crossed the road - very good Land Land continues good Bearing White Oak and Basswood - mainly,,,,
516,Hector,14,40,South,SW,East,125,,Crossed a small run of Water Bearing Southwesterly Excellent Land,,,,
517,Hector,14,40,South,SW,East,133,50,Intersected the East Bounds of the Lots Vide Northeast & Southeast Corner of Lots No. 41 & 40 page 5,,SE,,
519,Hector,4,40,East,NE,South,0,,Beginning at the Corner last Mentioned [Corner of Lots No. 31 &40],,,Charlotte,
520,Hector,4,40,East,NE,South,15,,Crossed a dry run bearing Westerly then left the Swamp and Entered fine Upland - producing Sugar Maple Basswood & black Wallnut [sic] Mostly,,,Charlotte,
521,Hector,5,40,East,NE,South,24,,A fine Brook running Southeasterly which Trossed [Crossed]at a short Turn or Bend thereof good land,,,Charlotte,
522,Hector,5,40,East,NE,South,33,,Crossed the same Brook again Running Southwesterly,,,Charlotte,
523,Hector,5,40,East,NE,South,37,,Entered Land on which there is little or no Timber Occasioned  I suppose by Fire - but very thick Covered with thorns and Hazel Bushes,,,Charlotte,
524,Hector,5,40,East,NE,South,40,50,Set a Stake marked and Numbered for the Southeast and Northeast Corners of Lots No. 40 & 41 Standing in the Clearing aforesaid,,SE,Charlotte,
528,Hector,13,41,South,SW,East,0,,Beginning at a small white pine Tree Standing on the Bank of the lake near two large white pine trees marked and Numbered for the Northwest and Southwest Corner of Lots No. 50 & 41,,,,
529,Hector,13,41,South,SW,East,57,,The road — Ascending Land good Bearing White Oak Hickory Black Wallnut [sic] etc.,,,,
530,Hector,13,41,South,SW,East,92,,Crossed a small brook bearing Southwesterly Land continues good,,,,
531,Hector,13,41,South,SW,East,100,,Rising ground,,,,
532,Hector,13,41,South,SW,East,122,,Intersected the East Bounds of the lake Lots - Vide Northeast and Southeast Corner of Lots No. 41 & 50 page 5,,NE,,
534,Hector,5,41,East,NE,South,0,,Beginning at the Corner last Mentioned [Corner of  Lots No. 40 & 41],,,Charlotte,
535,Hector,5,41,East,NE,South,35,,A dry Run bearing Westerly then Ascending Land not good bearing white and black Oak mostly,,,,
536,Hector,5,41,East,NE,South,53,85,The top of the Rise and Level Land of a good Quality. Timber the same as before Except white pine - Marked and Numbered a small white pine Standing a little to the North of two large white pines being the Southeast and Northeast Corners of Lots No. 41 & 50,,SE,Charlotte,
540,Hector,64,42,South,SW,East,0,,Beginning at a large White Oak Tree Standing in the East Bounds of Lot No. 41 Marked and Numbered for the Northwest and Southwest Corner of Lots No. 42 & 51,,,,
541,Hector,64,42,South,SW,East,14,,A small run bear:  Westerly,,,JuneSzabo,
542,Hector,64,42,South,SW,East,16,,Crossed the same again [a small run bear:  Westerly],,,JuneSzabo,
543,Hector,64,42,South,SW,East,19,,Crossed the same again [a small run bear:  Westerly],,,Rebecca,
544,Hector,64,42,South,SW,East,77,57,"The Corner of Lots No. 42, 43, 51 & 52 Vide Page 21.  Land most the Distance good Bearing White [? ] & Hickory",,SE,JuneSzabo,
546,Hector,22,42,East,SE,North,0,,"Beginning at the last mentioned Corner [Corner of Lots No. 42, 43, 51, 52] thence through good Land a small brook running Easterly",,,,
547,Hector,22,42,East,SE,North,80,,"Intersected a line Marked and Numbered a Hickory tree for the Corner of Lots No. 32, 33, 42, 43.  For the last remark the Land bears Hickory Elm Basswood & White Ash",,NE,JuneSzabo,
551,Hector,65,43,South,SW,East,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 42, 43, 51 & 52 Vide Page 21] ",,,,
552,Hector,65,43,South,SW,East,10,,A small Run bear: Southeasterly,,,JuneSzabo,
553,Hector,65,43,South,SW,East,13,,A fine brook running Southerly,,,JuneSzabo,
554,Hector,65,43,South,SW,East,24,,A small run bear:  Westerly,,,,
555,Hector,65,43,South,SW,East,77,57,"The Corner of Lots No. 43, 44, 52 & 53 Vide Page 26.  Land very good Covered with Oak Hickory and White ash",,SE,Rebecca,
557,Hector,26,43,East,NE,South,0,,"Beginning at the Corner last mentioned [Corner of Lots No. 33, 34, 43 & 44]",,,,
558,Hector,26,43,East,NE,South,7,,Crossed a small Brook running Westerly,,,JuneSzabo,
559,Hector,26,43,East,NE,South,80,,"A Black Oak tree Marked and Numbered for the Corner of Lots No. 43, 44, 52 & 53.  The land Inclines westerly and not very good in places very Stoney Bearing White Oak Black Oak & White pine",,SE,JuneSzabo,
563,Hector,65,44,South,SW,East,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 43, 44, 52 & 53 Vide Page 26]",,,,
564,Hector,65,44,South,SW,East,2,,A small run bearing Southwesterly,,,Rebecca,
565,Hector,65,44,South,SW,East,55,,A small spring run Bear: Southeasterly,,,JuneSzabo,
566,Hector,65,44,South,SW,East,77,57,"The Corner of Lots No. 44, 45, 53 & 54 Vide Page 30.  Land very Indifferent - Stoney and badly timbered",,SE,JuneSzabo,
568,Hector,30,44,East,SE,North,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 44, 45, 53 & 54]",,,,
569,Hector,30,44,East,SE,North,15,,A small Brook running Easterly,,,JuneSzabo,
570,Hector,30,44,East,SE,North,20,,A small Brook Bear: Ditto [Easterly],,,JuneSzabo,
571,Hector,30,44,East,SE,North,52,,A small Brook running Easterly,,,JuneSzabo,
572,Hector,31,44,East,SE,North,64,,A Brook running Easterly,,,JuneSzabo,
573,Hector,31,44,East,SE,North,80,,"A Poplar Sapling Marked and Numbered for the Corner of Lots No. 34, 35, 44, 45.  Land somewhat Broken and not very good bearing White and Black Oak White pine and Chestnut",,NE,JuneSzabo,
577,Hector,65,45,South,SW,East,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 44, 45, 53 & 54 Vide Page 30]",,,,
578,Hector,65,45,South,SW,East,32,,Crossed a Brook running Southeasterly,,,Rebecca,
579,Hector,65,45,South,SW,East,56,,Crossed a fine Brook running Southeasterly,,,Rebecca,
580,Hector,65,45,South,SW,East,70,,Crossed a large Brook running Southeasterly,,,Rebecca,
581,Hector,65,45,South,SW,East,77,57,"The Corner of Lots No. 45, 46, 54 & 55 Vide Page 34.  Toward the latter part of the line the Land is very rough Bearing Pine timber",,SE,Rebecca,
583,Hector,34,45,East,NE,South,0,,"Beginning at the last Mentioned Corner [Corner of Lots No. 35, 36, 45 & 46]",,,Judy,
584,Hector,34,45,East,NE,South,30,,The Land Stoney and very much Broken  Timber mainly Chesnut & pine,,,Judy,
585,Hector,34,45,East,NE,South,80,,Intersected the Line and Marked and Numbered a White pine tree for the Corner of Lots No. 45. 46.54 & 55,,SE,Judy,
589,Hector,66,46,South,SW,East,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 45, 46, 54 & 55  Vide Page 34]",,,,
590,Hector,66,46,South,SW,East,32,,A Spring Run bearing Northeasterly,,,Rebecca,
591,Hector,66,46,South,SW,East,34,,The same Bear:  Ditto [Northeasterly],,,Rebecca,
592,Hector,66,46,South,SW,East,38,,Crossed a large Brook or Stream Running Northeasterly,,,,
593,Hector,66,46,South,SW,East,52,,Crossed a fine large Brook running Northerly,,,JuneSzabo,
594,Hector,66,46,South,SW,East,77,57,"The Corner of Lots No. 46, 47, 55, 56 Vide page 38.  Land good & Level  Inclining to Swamp",,SE,Rebecca,
596,Hector,38,46,East,SE,North,0,,"Beginning at the last mentioned Corner [Corner of Lots No. 46, 47, 55 & 56]",,,Judy,
597,Hector,38,46,East,SE,North,40,,Crossed a large Brook running Easterly Land good,,,Judy,
598,Hector,38,46,East,SE,North,80,,"Intersected a Line & Set a Stake 7 Links North of a White pine tree marked and Numbered for the Corner of Lots No. 36, 37, 46 & 47.  Here the Land is not So so [sic] good timber pine white Chesnut Oak, Beech & Maple",,NE,Judy,
602,Hector,66,47,South,SW,East,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 46, 47, 55, 56 Vide page 38]",,,,
603,Hector,66,47,South,SW,East,37,,A Brook running Northeasterly,,,JuneSzabo,
604,Hector,66,47,South,SW,East,51,,A Small Run Bear: Northeasterly,,,Rebecca,
605,Hector,66,47,South,SW,East,77,57,"The Corner of Lots No. 47, 48, 56 & 57  Vide Page 41.  Good and Level Bearing Beach Maple Elm Basswood",,SE,Rebecca,
607,Hector,41,47,East,NE,South,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 37, 38, 47 & 48]",,,Judy,
608,Hector,41,47,East,NE,South,9,,Crossed a  Brook running Easterly,,,Judy,
609,Hector,41,47,East,NE,South,35,,Crossed a fine Stream Creek Running Northeasterly,,,Judy,
610,Hector,41,47,East,NE,South,80,,"Intersected a Line and Marked and Numbered a Beach Tree for the Corner of Lots No. 47, 48, 56 & 57.  Land level & good Bearing Bearing [sic] Beach Maple Elm White Ash and White pine.",,SE,Judy,
614,Hector,66,48,South,SW,East,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 47, 48, 56 & 57 Vide Page 41]",,,,
615,Hector,66,48,South,SW,East,17,,A small run bear:  Northerly,,,JuneSzabo,
616,Hector,66,48,South,SW,East,40,,A small Spring Run bear: Northerly,,,Rebecca,
617,Hector,66,48,South,SW,East,46,,A Small Spring Brook bear:  Northerly,,,JuneSzabo,
618,Hector,66,48,South,SW,East,77,57,"The Corner of Lots No. 48, 49, 57 & 58 Vide Page 44.  Good Land Bearing Timber as Last Mentioned [Beach Maple Elm Basswood]",,SE,Rebecca,
620,Hector,45,48,East,SE,North,0,,"Beginning at the Corner last Mentioned [Corner of Lots No. 48, 49, 57 & 58]",,,Judy,
621,Hector,45,48,East,SE,North,30,,Crossed a small brook running Easterly,,,Judy,
